station_code;date;DDVEC;FHVEC
330;2021-02-12T00:00:00.000Z;83;7.2
330;2021-02-13T00:00:00.000Z;108;7.6
330;2021-02-14T00:00:00.000Z;146;9.0
330;2021-02-15T00:00:00.000Z;190;9.4
330;2021-02-16T00:00:00.000Z;196;8.1
330;2021-02-17T00:00:00.000Z;201;8.2
330;2021-02-18T00:00:00.000Z;180;8.1
330;2021-02-19T00:00:00.000Z;183;8.4
330;2021-02-20T00:00:00.000Z;162;9.2
330;2021-02-21T00:00:00.000Z;170;5.7
330;2021-02-22T00:00:00.000Z;183;5.9
330;2021-02-23T00:00:00.000Z;192;7.0
330;2021-02-24T00:00:00.000Z;189;7.9
330;2021-02-25T00:00:00.000Z;227;3.0
330;2021-02-26T00:00:00.000Z;306;3.4
330;2021-02-27T00:00:00.000Z;360;1.5
330;2021-02-28T00:00:00.000Z;43;3.9
330;2021-03-01T00:00:00.000Z;88;4.7
330;2021-03-02T00:00:00.000Z;80;1.3
330;2021-03-03T00:00:00.000Z;337;2.6
330;2021-03-04T00:00:00.000Z;9;6.0
330;2021-03-05T00:00:00.000Z;30;6.8
330;2021-03-06T00:00:00.000Z;38;3.5
330;2021-03-07T00:00:00.000Z;4;2.0
330;2021-03-08T00:00:00.000Z;247;4.6
330;2021-03-09T00:00:00.000Z;290;3.6
330;2021-03-10T00:00:00.000Z;191;10.2
330;2021-03-11T00:00:00.000Z;226;13.3
330;2021-03-12T00:00:00.000Z;224;10.2
330;2021-03-13T00:00:00.000Z;242;11.7
330;2021-03-14T00:00:00.000Z;272;8.1
330;2021-03-15T00:00:00.000Z;321;9.4
330;2021-03-16T00:00:00.000Z;316;3.2
330;2021-03-17T00:00:00.000Z;356;7.8
330;2021-03-18T00:00:00.000Z;359;5.7
330;2021-03-19T00:00:00.000Z;22;8.1
330;2021-03-20T00:00:00.000Z;299;2.0
330;2021-03-21T00:00:00.000Z;348;8.0
330;2021-03-22T00:00:00.000Z;321;2.4
330;2021-03-23T00:00:00.000Z;216;3.9
330;2021-03-24T00:00:00.000Z;227;3.7
330;2021-03-25T00:00:00.000Z;220;5.6
330;2021-03-26T00:00:00.000Z;199;8.0
330;2021-03-27T00:00:00.000Z;249;9.4
330;2021-03-28T00:00:00.000Z;217;10.3
330;2021-03-29T00:00:00.000Z;219;8.7
330;2021-03-30T00:00:00.000Z;147;2.0
330;2021-03-31T00:00:00.000Z;187;0.8
330;2021-04-01T00:00:00.000Z;14;8.2
330;2021-04-02T00:00:00.000Z;10;9.2
330;2021-04-03T00:00:00.000Z;8;9.5
330;2021-04-04T00:00:00.000Z;257;3.2
330;2021-04-05T00:00:00.000Z;321;13.6
330;2021-04-06T00:00:00.000Z;321;12.6
330;2021-04-07T00:00:00.000Z;306;12.9
330;2021-04-08T00:00:00.000Z;238;6.5
330;2021-04-09T00:00:00.000Z;247;3.5
330;2021-04-10T00:00:00.000Z;44;9.3
330;2021-04-11T00:00:00.000Z;355;8.8
330;2021-04-12T00:00:00.000Z;313;5.1
330;2021-04-13T00:00:00.000Z;300;3.6
330;2021-04-14T00:00:00.000Z;18;4.4
330;2021-04-15T00:00:00.000Z;20;6.5
330;2021-04-16T00:00:00.000Z;18;7.7
330;2021-04-17T00:00:00.000Z;14;7.8
330;2021-04-18T00:00:00.000Z;341;3.3
330;2021-04-19T00:00:00.000Z;7;4.0
330;2021-04-20T00:00:00.000Z;5;2.0
330;2021-04-21T00:00:00.000Z;13;8.9
330;2021-04-22T00:00:00.000Z;20;6.1
330;2021-04-23T00:00:00.000Z;27;3.9
330;2021-04-24T00:00:00.000Z;32;6.0
330;2021-04-25T00:00:00.000Z;28;8.3
330;2021-04-26T00:00:00.000Z;28;7.5
330;2021-04-27T00:00:00.000Z;54;4.0
330;2021-04-28T00:00:00.000Z;24;7.0
330;2021-04-29T00:00:00.000Z;329;9.9
330;2021-04-30T00:00:00.000Z;325;4.8
330;2021-05-01T00:00:00.000Z;314;5.2
330;2021-05-02T00:00:00.000Z;307;4.9
330;2021-05-03T00:00:00.000Z;216;7.5
330;2021-05-04T00:00:00.000Z;251;12.7
330;2021-05-05T00:00:00.000Z;284;8.6
330;2021-05-06T00:00:00.000Z;281;3.6
330;2021-05-07T00:00:00.000Z;276;3.7
330;2021-05-08T00:00:00.000Z;169;7.0
330;2021-05-09T00:00:00.000Z;179;4.9
330;2021-05-10T00:00:00.000Z;210;4.7
330;2021-05-11T00:00:00.000Z;337;1.4
330;2021-05-12T00:00:00.000Z;240;1.7
330;2021-05-13T00:00:00.000Z;52;1.8
330;2021-05-14T00:00:00.000Z;1;4.3
330;2021-05-15T00:00:00.000Z;199;1.6
330;2021-05-16T00:00:00.000Z;228;5.4
330;2021-05-17T00:00:00.000Z;255;3.4
330;2021-05-18T00:00:00.000Z;266;4.7
330;2021-05-19T00:00:00.000Z;265;4.0
330;2021-05-20T00:00:00.000Z;195;6.4
330;2021-05-21T00:00:00.000Z;219;14.4
330;2021-05-22T00:00:00.000Z;261;7.1
330;2021-05-23T00:00:00.000Z;218;5.4
330;2021-05-24T00:00:00.000Z;191;6.7
330;2021-05-25T00:00:00.000Z;259;7.4
330;2021-05-26T00:00:00.000Z;275;8.3
330;2021-05-27T00:00:00.000Z;320;8.1
330;2021-05-28T00:00:00.000Z;28;3.2
330;2021-05-29T00:00:00.000Z;29;6.1
330;2021-05-30T00:00:00.000Z;34;5.8
330;2021-05-31T00:00:00.000Z;35;4.6
330;2021-06-01T00:00:00.000Z;89;4.2
330;2021-06-02T00:00:00.000Z;75;2.6
330;2021-06-03T00:00:00.000Z;227;4.4
330;2021-06-04T00:00:00.000Z;7;3.5
330;2021-06-05T00:00:00.000Z;331;6.2
330;2021-06-06T00:00:00.000Z;354;4.8
330;2021-06-07T00:00:00.000Z;21;4.7
330;2021-06-08T00:00:00.000Z;354;1.8
330;2021-06-09T00:00:00.000Z;256;3.2
330;2021-06-10T00:00:00.000Z;247;3.0
330;2021-06-11T00:00:00.000Z;220;5.1
330;2021-06-12T00:00:00.000Z;312;4.6
330;2021-06-13T00:00:00.000Z;348;2.0
330;2021-06-14T00:00:00.000Z;328;1.2
330;2021-06-15T00:00:00.000Z;26;6.0
330;2021-06-16T00:00:00.000Z;96;3.1
330;2021-06-17T00:00:00.000Z;200;0.1
330;2021-06-18T00:00:00.000Z;104;1.5
330;2021-06-19T00:00:00.000Z;306;3.0
330;2021-06-20T00:00:00.000Z;13;4.5
330;2021-06-21T00:00:00.000Z;34;10.0
330;2021-06-22T00:00:00.000Z;21;9.7
330;2021-06-23T00:00:00.000Z;23;6.3
330;2021-06-24T00:00:00.000Z;358;1.9
330;2021-06-25T00:00:00.000Z;212;5.4
330;2021-06-26T00:00:00.000Z;18;2.6
330;2021-06-27T00:00:00.000Z;64;4.6
330;2021-06-28T00:00:00.000Z;13;1.7
330;2021-06-29T00:00:00.000Z;359;6.7
330;2021-06-30T00:00:00.000Z;338;7.9
330;2021-07-01T00:00:00.000Z;285;7.4
330;2021-07-02T00:00:00.000Z;303;2.4
330;2021-07-03T00:00:00.000Z;154;2.0
330;2021-07-04T00:00:00.000Z;220;3.0
330;2021-07-05T00:00:00.000Z;191;4.8
330;2021-07-06T00:00:00.000Z;205;10.5
330;2021-07-07T00:00:00.000Z;214;5.2
330;2021-07-08T00:00:00.000Z;247;3.4
330;2021-07-09T00:00:00.000Z;258;2.5
